Date,Price,Open,High,Low,Volume,Change,coin_name_abbrv,coin_name,Volume_in_Million
2020-07-03,9067.1,9085.0,9120.4,9050.9,333.88K,-0.20%,Bit,Bitcoin,0.33388
2020-07-02,9085.1,9229.9,9259.7,8962.1,483.10K,-1.57%,Bit,Bitcoin,0.48310000000000003
2020-07-01,9229.9,9135.9,9289.0,9101.1,366.78K,1.03%,Bit,Bitcoin,0.36678
2020-06-30,9135.4,9186.0,9199.8,9075.3,381.73K,-0.54%,Bit,Bitcoin,0.38173
2020-06-29,9185.4,9122.8,9229.1,9033.6,401.12K,0.67%,Bit,Bitcoin,0.40112000000000003
2020-06-28,9124.0,9008.4,9185.5,8950.2,329.01K,1.28%,Bit,Bitcoin,0.32900999999999997
2020-06-27,9008.3,9160.5,9190.5,8865.3,441.93K,-1.66%,Bit,Bitcoin,0.44193
2020-06-26,9160.0,9247.5,9296.5,9060.1,489.84K,-0.95%,Bit,Bitcoin,0.48984
2020-06-25,9247.5,9300.8,9327.3,9022.6,524.45K,-0.59%,Bit,Bitcoin,0.5244500000000001
2020-06-24,9302.0,9624.6,9667.4,9223.0,515.78K,-3.35%,Bit,Bitcoin,0.51578
2020-06-23,9624.6,9683.9,9715.6,9581.8,375.49K,-0.61%,Bit,Bitcoin,0.37549
2020-06-22,9683.7,9296.5,9751.9,9285.8,523.32K,4.17%,Bit,Bitcoin,0.52332
2020-06-21,9296.4,9358.8,9411.2,9288.5,335.99K,-0.67%,Bit,Bitcoin,0.33599
2020-06-20,9358.8,9314.0,9394.5,9199.8,383.44K,0.48%,Bit,Bitcoin,0.38344
2020-06-19,9314.0,9390.3,9424.0,9249.6,478.49K,-0.79%,Bit,Bitcoin,0.47849
2020-06-18,9388.1,9464.6,9480.4,9289.3,391.67K,-0.81%,Bit,Bitcoin,0.39167
2020-06-17,9464.6,9523.6,9543.6,9258.2,446.45K,-0.62%,Bit,Bitcoin,0.44645
2020-06-16,9523.5,9425.6,9577.1,9379.3,545.47K,1.04%,Bit,Bitcoin,0.54547
2020-06-15,9425.4,9345.5,9489.7,8925.6,750.90K,0.86%,Bit,Bitcoin,0.7509
2020-06-14,9345.3,9470.7,9474.7,9264.4,311.27K,-1.33%,Bit,Bitcoin,0.31127
2020-06-13,9471.3,9466.5,9484.9,9369.9,364.97K,0.05%,Bit,Bitcoin,0.36497
2020-06-12,9466.6,9283.7,9547.5,9249.4,529.28K,1.97%,Bit,Bitcoin,0.52928
2020-06-11,9283.2,9878.9,9945.2,9139.1,919.30K,-6.03%,Bit,Bitcoin,0.9193
2020-06-10,9878.8,9768.8,9970.9,9710.7,533.55K,1.13%,Bit,Bitcoin,0.53355
2020-06-09,9768.8,9777.7,9857.2,9616.6,479.55K,-0.09%,Bit,Bitcoin,0.47955000000000003
2020-06-08,9777.9,9743.4,9788.2,9662.3,431.04K,0.36%,Bit,Bitcoin,0.43104000000000003
2020-06-07,9742.6,9669.6,9791.8,9417.4,549.20K,0.76%,Bit,Bitcoin,0.5492
2020-06-06,9669.6,9630.8,9733.1,9549.5,370.85K,0.40%,Bit,Bitcoin,0.37085
2020-06-05,9631.2,9794.0,9846.1,9628.7,527.05K,-1.67%,Bit,Bitcoin,0.5270499999999999
2020-06-04,9794.4,9667.2,9864.4,9490.9,593.66K,1.32%,Bit,Bitcoin,0.59366
2020-06-03,9667.2,9527.0,9667.2,9421.7,558.12K,1.47%,Bit,Bitcoin,0.55812
2020-06-02,9527.6,10190.7,10207.3,9347.3,1.06M,-6.49%,Bit,Bitcoin,1.06
2020-06-01,10189.3,9454.5,10301.8,9429.7,796.68K,7.77%,Bit,Bitcoin,0.7966799999999999
2020-05-31,9454.8,9692.9,9695.6,9406.2,645.27K,-2.45%,Bit,Bitcoin,0.64527
2020-05-30,9692.5,9424.8,9729.9,9352.7,720.62K,2.84%,Bit,Bitcoin,0.72062
2020-05-29,9424.8,9573.4,9596.5,9358.1,814.33K,-1.54%,Bit,Bitcoin,0.81433
2020-05-28,9572.2,9199.8,9610.8,9119.2,948.86K,4.06%,Bit,Bitcoin,0.94886
2020-05-27,9199.1,8842.3,9210.9,8818.6,810.89K,4.03%,Bit,Bitcoin,0.81089
2020-05-26,8842.5,8897.7,8994.6,8713.9,784.92K,-0.63%,Bit,Bitcoin,0.78492
2020-05-25,8898.2,8728.0,8959.5,8666.1,941.89K,1.95%,Bit,Bitcoin,0.94189
2020-05-24,8728.2,9177.9,9292.0,8724.1,1.11M,-4.89%,Bit,Bitcoin,1.11
